timestamp,pieza,dificultad,puntaje_total,puntaje_maximo,notas_offset_ms,notas_resultado
2025-10-10T22:27:42.896Z,"ode","dificil",0,6100,"210.3|210.0|214.0|213.1|212.1|212.8|211.7|210.6|212.2|212.1|211.9|212.6|212.3|213.7|212.9|212.6|214.2|212.2|211.2|211.9|211.7|210.8|211.5|211.2|211.1|213.4|213.3|211.5|212.1|210.4|210.8|212.5|213.0|212.9|210.3|213.4|213.4|211.5|213.1|210.4|210.3|213.6|212.6|211.6|212.3|210.5|210.4|211.6|214.0|211.3|210.4|210.2|212.5|210.8|212.3|211.3|212.9|213.4|210.9|213.1|210.5","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
2025-10-10T22:30:17.355Z,"ode","normal",0,4600,"210.1|213.9|212.9|213.3|213.0|212.0|210.1|211.4|212.1|212.6|214.1|210.5|213.6|214.0|212.1|213.3|213.8|213.6|211.7|210.6|212.9|211.7|212.3|211.3|211.8|212.5|210.4|211.1|210.7|210.5|213.3|211.4|212.2|211.8|213.2|211.3|213.6|211.9|213.3|213.9|210.3|211.0|213.4|210.6|213.6|213.3","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
2025-10-11T00:14:49.483Z,"ode","dificil",0,6100,"213.3|213.1|213.0|212.1|211.2|211.8|210.6|213.8|211.2|211.0|210.9|211.6|211.3|212.8|211.8|211.6|213.1|211.4|210.3|211.0|210.8|214.0|210.5|210.4|210.2|212.5|212.3|210.6|211.1|213.5|214.1|211.4|212.1|212.0|213.4|212.5|212.4|210.7|212.2|213.7|213.4|212.5|211.7|210.6|211.3|213.6|213.4|210.6|212.9|210.3|213.5|213.3|211.5|213.9|211.4|210.3|211.9|212.5|214.0|212.1|213.6","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
2025-10-11T00:23:46.695Z,"ode","dificil",0,6100,"213.0|212.8|212.6|211.6|210.6|211.4|210.3|213.5|210.8|210.7|210.6|211.2|211.1|212.6|211.7|211.4|212.9|211.0|210.1|210.7|210.5|213.7|210.2|214.2|214.1|212.2|212.1|210.2|210.9|213.2|213.7|211.1|211.7|211.6|213.1|212.2|212.1|210.3|211.8|213.2|213.2|212.2|211.3|210.3|210.9|213.4|213.2|210.4|212.8|210.1|213.3|213.1|211.3|213.7|211.0|210.0|211.6|212.3|213.7|212.0|213.4","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
2025-10-11T00:36:07.384Z,"ode","dificil",0,0,"",""
2025-10-11T00:59:12.318Z,"ode","dificil",0,5400,"9470.6|8320.6|7270.6|6240.6|5160.6|4090.6|2960.6|1880.6|790.6|211.4|211.2|211.8|211.7|213.2|212.3|212.0|213.5|211.7|210.6|211.2|211.0|210.0|210.7|210.5|210.4|212.7|212.6|210.8|211.4|213.8|210.2|211.7|212.4|212.1|213.7|212.7|212.7|210.9|212.4|213.9|213.9|212.9|212.0|210.9|211.6|214.0|213.8|211.0|213.4|210.7|213.9|213.8|211.9|210.1","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
2025-10-14T17:04:58.728Z,"ode","normal",2850,4500,"-93.4|-172.8|-115.6|51.7|-165.3|-153.8|-1.5|4.0|-28.8|-140.7|31.5|-30.5|-102.4|-172.8|-199.5|-198.4|-2.0|-14.8|-199.9|3.0|5.2|20.8|-16.1|20.4|4.3|38.2|77.9|-54.8|-196.8|-34.4|-27.5|-87.8|-137.2|50.0|34.8|37.0|168.6|87.5|-2.8|164.5|211.7|18.2|-34.5|-18.9|-73.4","50|0|50|100|0|0|100|100|100|0|100|100|50|0|0|0|100|100|0|100|100|100|100|100|100|100|50|100|0|100|100|50|0|100|100|100|0|50|100|0|0|100|100|100|50"
2025-10-14T19:12:57.355Z,"ode","normal",0,4600,"211.6|211.3|210.3|210.7|210.5|213.5|211.7|213.1|213.7|214.1|211.5|212.0|211.0|211.4|-198.6|210.8|211.4|211.1|213.3|212.3|-198.0|213.4|214.0|212.8|213.5|-198.4|212.1|212.8|-146.0|-162.7|210.9|213.1|213.8|213.6|210.8|213.1|211.2|-198.8|210.8|-196.9|212.0|212.7|210.9|212.4|211.3|211.0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
2025-10-14T19:15:45.024Z,"ode","facil",250,2900,"212.9|212.4|210.2|212.3|211.8|210.4|213.3|212.8|213.1|210.1|212.9|211.4|-115.7|56.0|210.8|145.6|-169.9|210.4|-198.4|-198.0|211.4|76.0|-195.3|211.5|211.9|143.1|212.6|212.9|100.5","0|0|0|0|0|0|0|0|0|0|0|0|50|100|0|0|0|0|0|0|0|50|0|0|0|0|0|0|50"
2025-10-14T19:18:27.153Z,"ode","facil",650,2800,"213.5|-16.3|-126.7|171.1|212.3|210.9|213.3|34.5|210.6|213.5|212.1|214.1|-80.8|78.1|213.0|214.0|211.0|210.5|210.8|-196.2|22.3|213.6|212.1|212.5|-35.4|-28.4|213.5|-98.8","0|100|0|0|0|0|0|100|0|0|0|0|50|50|0|0|0|0|0|0|100|0|0|0|100|100|0|50"
2025-10-14T19:21:09.777Z,"ode","facil",250,2900,"-198.8|196.4|211.0|213.0|212.5|36.1|213.9|150.9|213.7|210.9|213.6|212.3|210.1|211.0|211.6|192.2|214.4|-80.4|210.9|211.0|191.5|-56.6|213.7|212.3|212.6|210.5|213.3|213.6|213.7","0|0|0|0|0|100|0|0|0|0|0|0|0|0|0|0|0|50|0|0|0|100|0|0|0|0|0|0|0"
2025-10-14T19:30:15.170Z,"ode","facil",0,2900,"213.4|212.8|210.7|212.7|212.2|210.8|213.6|213.0|213.5|210.5|213.3|136.9|-131.9|210.5|211.2|212.6|213.9|210.9|210.4|210.7|211.9|213.8|213.4|212.0|212.3|210.2|213.1|213.4|213.4","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
2025-10-14T19:50:29.734Z,"ode","facil",600,2900,"213.3|29.3|-81.1|-83.4|-125.5|35.5|155.0|58.8|-86.8|177.0|-199.4|-196.6|-190.5|-198.0|-101.6|-29.4|-198.9|-197.7|-198.2|-198.0|211.4|-199.1|-199.6|-196.9|-196.5|-198.7|-199.9|-199.6|-137.1","0|100|50|50|0|100|0|100|50|0|0|0|0|0|50|100|0|0|0|0|0|0|0|0|0|0|0|0|0"
